Cliente,Modelo,Silhouette,Davies Bouldin,Calinski Harabasz
Cliente 9,KMeans,0.39916327334213136,1.176228021598728,10274.175158414835
Cliente 8,KMeans,0.3112214319055881,1.601108289145082,5083.8817718971495
Cliente 29,KMeans,0.36519268088431306,1.5051256294437139,3105.804376544413
Cliente 15,KMeans,0.2279572692033595,1.8173577393458231,3775.2134286230807
Cliente 14,KMeans,0.24430645101707693,1.7521491401994613,3785.433697628075
Cliente 28,KMeans,0.4504091438310574,0.945422207189915,4419.013425939863
Cliente 16,KMeans,0.4127299375547623,1.0995305007942953,10330.681088014344
Cliente 17,KMeans,0.43237802927456764,1.0281130192320778,11726.722275480663
Cliente 13,KMeans,0.22767917452251413,1.8304817394568786,3585.1011891821177
Cliente 12,KMeans,0.32089943594875175,1.3534317907913709,4804.365189472528
Cliente 10,KMeans,0.3431025756930604,1.2848255278541527,7262.703574102249
Cliente 11,KMeans,0.24165837990202313,1.7638316327342936,3776.8227030585313
Cliente 20,KMeans,0.30300003225817607,1.4776198748697256,5101.577486481219
Cliente 21,KMeans,0.5572058455910939,0.9331916709981121,2924.485693349003
Cliente 23,KMeans,0.2192519778253847,1.8862554170310735,2240.6617078797367
Cliente 22,KMeans,0.22574469246690326,1.8498915066704988,2251.758338386748
Cliente 26,KMeans,0.38226860404304563,1.1741222311344996,6260.922152437692
Cliente 27,KMeans,0.3442453609144034,1.2503306884657128,4734.832809064521
Cliente 25,KMeans,0.22848931215252724,1.8389633342648577,2272.044921043766
Cliente 19,KMeans,0.4621546293965341,0.9478500936294731,10803.550953855762
Cliente 18,KMeans,0.37615244394452685,1.2034562520497762,8791.563606583859
Cliente 24,KMeans,0.24251247559200134,1.782620675113651,2278.499364933109
Cliente 30,KMeans,0.32089943594875175,1.3534317907913709,4804.365189472528
Cliente 1,KMeans,0.4423018373341092,1.103918861108764,9318.949357935713
Cliente 3,KMeans,0.407180037746401,1.038822250067423,7321.473600740871
Cliente 2,KMeans,0.42478448154937226,1.0161899863119335,8110.322527404629
Cliente 6,KMeans,0.3736598328058332,1.2300169545886666,6830.4057860301145
Cliente 7,KMeans,0.42884402690424045,1.0825999436276834,7437.173204156803
Cliente 5,KMeans,0.236792322014331,1.8133869057591483,4920.281702471143
Cliente 4,KMeans,0.48988485913554386,0.9161563666884953,10225.887462557188
Cliente 9,Birch,0.4847808154196645,0.9348469264636996,16264.810190096603
